Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2026,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
MSitAE-MAY-2026,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16449,0,0,0,0,0,2721,0,0,0,0,0,989,28,3023,0,0,187
MSitAE-MAY-2026,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2972,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2922,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
MSitAE-MAY-2026,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,14882,0,6467,0,0,0,5940,0,68,0,0,0,802,915,3257,0,0,900
MSitAE-MAY-2026,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6425,0,0,0,0,0,1048,0,0,0,0,0,1,0,901,0,0,273
MSitAE-MAY-2026,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7409,0,3164,0,0,77,3959,0,18,0,0,0,432,539,2541,0,0,708
MSitAE-MAY-2026,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7767,0,0,1477,0,0,304,0,0,16,0,0,0,0,0,0
MSitAE-MAY-2026,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NNJ10,NHS ENGLAND MIDLANDS ,ENDERBY LEISURE CENTRE,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NNJ11,NHS ENGLAND MIDLANDS ,LUTTERWORTH HOSPITAL,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0
